species,region,range
Abatia parviflora,a.10.5,1400
Abatia parviflora,b.5.0,3300
Abatia parviflora,c.0.-5,2700
Abatia parviflora,d.-5.-10,800
Acalypha cuneata,a.10.5,1100
Acalypha cuneata,b.5.0,1500
Acalypha cuneata,c.0.-5,3100
Acalypha cuneata,d.-5.-10,1700
Acalypha cuneata,e.-10.-15,1100
Acalypha cuneata,f.-15.-20,400
Acalypha diversifolia,a.10.5,3100
Acalypha diversifolia,b.5.0,2900
Acalypha diversifolia,c.0.-5,3700
Acalypha diversifolia,d.-5.-10,1800
Acalypha diversifolia,e.-10.-15,1700
Acalypha diversifolia,f.-15.-20,1700
Acalypha diversifolia,g.-20.-25,800
Acalypha macrostachya,a.10.5,3200
Acalypha macrostachya,b.5.0,2600
Acalypha macrostachya,c.0.-5,1900
Acalypha macrostachya,d.-5.-10,1500
Acalypha macrostachya,e.-10.-15,2100
Acalypha macrostachya,f.-15.-20,2400
Acalypha stricta,b.5.0,500
Acalypha stricta,c.0.-5,900
Acalypha stricta,d.-5.-10,1700
Acalypha stricta,e.-10.-15,1800
Acalypha stricta,f.-15.-20,2200
Acalypha stricta,g.-20.-25,300
Achatocarpus nigricans,a.10.5,1800
Achatocarpus nigricans,b.5.0,1300
Achatocarpus nigricans,f.-15.-20,1100
Aegiphila alba,a.10.5,1900
Aegiphila alba,b.5.0,2100
Aegiphila alba,c.0.-5,2800
Aegiphila bogotensis,a.10.5,2800
Aegiphila bogotensis,b.5.0,2200
Aegiphila bogotensis,c.0.-5,2700
Aegiphila cuatrecasasii,a.10.5,1800
Aegiphila cuatrecasasii,b.5.0,500
Aegiphila cuatrecasasii,c.0.-5,1700
Aegiphila cuatrecasasii,e.-10.-15,200
Aegiphila integrifolia,a.10.5,2200
Aegiphila integrifolia,b.5.0,2000
Aegiphila integrifolia,c.0.-5,1500
Aegiphila integrifolia,d.-5.-10,3000
Aegiphila integrifolia,e.-10.-15,1800
Aegiphila integrifolia,f.-15.-20,2000
Aegiphila panamensis,a.10.5,1500
Aegiphila panamensis,b.5.0,1900
Aegiphila panamensis,c.0.-5,1900
Aegiphila panamensis,d.-5.-10,500
Aegiphila panamensis,e.-10.-15,1800
Aequatorium jamesonii,a.10.5,300
Aequatorium jamesonii,b.5.0,600
Aequatorium jamesonii,c.0.-5,1000
Ageratina tinifolia,a.10.5,2600
Ageratina tinifolia,b.5.0,3600
Ageratina tinifolia,c.0.-5,100
Agouticarpa williamsii,a.10.5,2300
Agouticarpa williamsii,b.5.0,2100
Agouticarpa williamsii,c.0.-5,1700
Aiouea dubia,a.10.5,2000
Aiouea dubia,b.5.0,3200
