species,genus,region,range,genus_in_region
Abatia parviflora,Abatia,a.10.5,1400,1
Abatia parviflora,Abatia,b.5.0,3300,1
Abatia parviflora,Abatia,c.0.-5,2700,1
Abatia parviflora,Abatia,d.-5.-10,800,1
Acalypha cuneata,Acalypha,a.10.5,1100,3
Acalypha cuneata,Acalypha,b.5.0,1500,4
Acalypha cuneata,Acalypha,c.0.-5,3100,5
Acalypha cuneata,Acalypha,d.-5.-10,1700,5
Acalypha cuneata,Acalypha,e.-10.-15,1100,5
Acalypha cuneata,Acalypha,f.-15.-20,400,5
Acalypha diversifolia,Acalypha,a.10.5,3100,3
Acalypha diversifolia,Acalypha,b.5.0,2900,4
Acalypha diversifolia,Acalypha,c.0.-5,3700,5
Acalypha diversifolia,Acalypha,d.-5.-10,1800,5
Acalypha diversifolia,Acalypha,e.-10.-15,1700,5
Acalypha diversifolia,Acalypha,f.-15.-20,1700,5
Acalypha macrostachya,Acalypha,a.10.5,3200,3
Acalypha macrostachya,Acalypha,b.5.0,2600,4
Acalypha macrostachya,Acalypha,c.0.-5,1900,5
Acalypha macrostachya,Acalypha,d.-5.-10,1500,5
Acalypha macrostachya,Acalypha,e.-10.-15,2100,5
Acalypha macrostachya,Acalypha,f.-15.-20,2400,5
Acalypha stricta,Acalypha,b.5.0,500,4
Acalypha stricta,Acalypha,c.0.-5,900,5
Acalypha stricta,Acalypha,d.-5.-10,1700,5
Acalypha stricta,Acalypha,e.-10.-15,1800,5
Acalypha stricta,Acalypha,f.-15.-20,2200,5
Aegiphila alba,Aegiphila,a.10.5,1900,4
Aegiphila alba,Aegiphila,b.5.0,2100,4
Aegiphila alba,Aegiphila,c.0.-5,2800,4
Aegiphila cuatrecasasii,Aegiphila,a.10.5,1800,4
Aegiphila cuatrecasasii,Aegiphila,b.5.0,500,4
Aegiphila cuatrecasasii,Aegiphila,c.0.-5,1700,4
Aegiphila cuatrecasasii,Aegiphila,e.-10.-15,200,3
Aegiphila integrifolia,Aegiphila,a.10.5,2200,4
Aegiphila integrifolia,Aegiphila,b.5.0,2000,4
Aegiphila integrifolia,Aegiphila,c.0.-5,1500,4
Aegiphila integrifolia,Aegiphila,d.-5.-10,3000,2
Aegiphila integrifolia,Aegiphila,e.-10.-15,1800,3
Aegiphila integrifolia,Aegiphila,f.-15.-20,2000,1
Aegiphila panamensis,Aegiphila,a.10.5,1500,4
Aegiphila panamensis,Aegiphila,b.5.0,1900,4
Aegiphila panamensis,Aegiphila,c.0.-5,1900,4
Aegiphila panamensis,Aegiphila,d.-5.-10,500,2
Aegiphila panamensis,Aegiphila,e.-10.-15,1800,3
Agouticarpa williamsii,Agouticarpa,a.10.5,2300,1
Agouticarpa williamsii,Agouticarpa,b.5.0,2100,1
Agouticarpa williamsii,Agouticarpa,c.0.-5,1700,1
Aiouea dubia,Aiouea,a.10.5,2000,1
Aiouea dubia,Aiouea,b.5.0,3200,2
Aiouea dubia,Aiouea,c.0.-5,1000,1
Aiouea dubia,Aiouea,e.-10.-15,1600,2
Aiphanes horrida,Aiphanes,a.10.5,2400,1
Aiphanes horrida,Aiphanes,b.5.0,1300,1
Aiphanes horrida,Aiphanes,d.-5.-10,100,1
Aiphanes horrida,Aiphanes,e.-10.-15,1600,1
Aiphanes horrida,Aiphanes,f.-15.-20,1000,1
Albizia niopoides,Albizia,a.10.5,1400,2
Albizia niopoides,Albizia,b.5.0,600,2
Albizia niopoides,Albizia,c.0.-5,900,1
Albizia niopoides,Albizia,d.-5.-10,1000,1
Albizia niopoides,Albizia,e.-10.-15,1300,1
Albizia niopoides,Albizia,f.-15.-20,500,2
Albizia subdimidiata,Albizia,a.10.5,700,2
Albizia subdimidiata,Albizia,b.5.0,500,2
Albizia subdimidiata,Albizia,f.-15.-20,100,2
Alchornea acutifolia,Alchornea,a.10.5,1400,9
Alchornea acutifolia,Alchornea,b.5.0,2100,9
Alchornea acutifolia,Alchornea,c.0.-5,2400,8
Alchornea acutifolia,Alchornea,d.-5.-10,1600,7
Alchornea acutifolia,Alchornea,e.-10.-15,600,8
Alchornea brittonii,Alchornea,a.10.5,400,9
Alchornea brittonii,Alchornea,b.5.0,100,9
Alchornea brittonii,Alchornea,e.-10.-15,1600,8
Alchornea brittonii,Alchornea,f.-15.-20,1600,6
Alchornea coelophylla,Alchornea,a.10.5,1700,9
Alchornea coelophylla,Alchornea,b.5.0,1900,9
Alchornea coelophylla,Alchornea,c.0.-5,1400,8
Alchornea glandulosa,Alchornea,a.10.5,2600,9
Alchornea glandulosa,Alchornea,b.5.0,3600,9
Alchornea glandulosa,Alchornea,c.0.-5,2500,8
Alchornea glandulosa,Alchornea,d.-5.-10,2200,7
Alchornea glandulosa,Alchornea,e.-10.-15,3000,8
Alchornea glandulosa,Alchornea,f.-15.-20,2200,6
Alchornea grandiflora,Alchornea,a.10.5,2500,9
Alchornea grandiflora,Alchornea,b.5.0,2700,9
Alchornea grandiflora,Alchornea,c.0.-5,2100,8
Alchornea grandiflora,Alchornea,d.-5.-10,1800,7
Alchornea grandiflora,Alchornea,e.-10.-15,2200,8
Alchornea grandiflora,Alchornea,f.-15.-20,600,6
