species,genus,region,range,genus_in_region
Abatia parviflora,Abatia,a.10.5,1400,1
Abatia parviflora,Abatia,b.5.0,1600,1
Abatia parviflora,Abatia,c.0.-5,2600,1
Abatia parviflora,Abatia,d.-5.-10,800,1
Acalypha cuneata,Acalypha,a.10.5,1100,3
Acalypha cuneata,Acalypha,b.5.0,1300,3
Acalypha cuneata,Acalypha,c.0.-5,1500,5
Acalypha cuneata,Acalypha,d.-5.-10,1700,5
Acalypha cuneata,Acalypha,e.-10.-15,1100,5
Acalypha cuneata,Acalypha,f.-15.-20,400,5
Acalypha diversifolia,Acalypha,a.10.5,2100,3
Acalypha diversifolia,Acalypha,b.5.0,2700,3
Acalypha diversifolia,Acalypha,c.0.-5,3700,5
Acalypha diversifolia,Acalypha,d.-5.-10,1800,5
Acalypha diversifolia,Acalypha,e.-10.-15,1700,5
Acalypha diversifolia,Acalypha,f.-15.-20,1700,5
Acalypha macrostachya,Acalypha,a.10.5,2300,3
Acalypha macrostachya,Acalypha,b.5.0,2400,3
Acalypha macrostachya,Acalypha,c.0.-5,1300,5
Acalypha macrostachya,Acalypha,d.-5.-10,1500,5
Acalypha macrostachya,Acalypha,e.-10.-15,2100,5
Acalypha macrostachya,Acalypha,f.-15.-20,2400,5
Achatocarpus nigricans,Achatocarpus,a.10.5,600,1
Achatocarpus nigricans,Achatocarpus,b.5.0,800,1
Achatocarpus nigricans,Achatocarpus,f.-15.-20,1100,2
Aegiphila alba,Aegiphila,a.10.5,1600,4
Aegiphila alba,Aegiphila,b.5.0,2100,5
Aegiphila alba,Aegiphila,c.0.-5,2500,5
Aegiphila bogotensis,Aegiphila,a.10.5,700,4
Aegiphila bogotensis,Aegiphila,b.5.0,1100,5
Aegiphila bogotensis,Aegiphila,c.0.-5,2600,5
Aegiphila cuatrecasasii,Aegiphila,b.5.0,400,5
Aegiphila cuatrecasasii,Aegiphila,c.0.-5,1000,5
Aegiphila integrifolia,Aegiphila,a.10.5,1800,4
Aegiphila integrifolia,Aegiphila,b.5.0,1700,5
Aegiphila integrifolia,Aegiphila,c.0.-5,1500,5
Aegiphila integrifolia,Aegiphila,d.-5.-10,3000,2
Aegiphila integrifolia,Aegiphila,e.-10.-15,1800,2
Aegiphila integrifolia,Aegiphila,f.-15.-20,2000,2
Aegiphila panamensis,Aegiphila,a.10.5,1500,4
Aegiphila panamensis,Aegiphila,b.5.0,400,5
Aegiphila panamensis,Aegiphila,c.0.-5,1900,5
Aegiphila panamensis,Aegiphila,d.-5.-10,500,2
Aegiphila panamensis,Aegiphila,e.-10.-15,300,2
Aequatorium jamesonii,Aequatorium,b.5.0,300,1
Aequatorium jamesonii,Aequatorium,c.0.-5,1000,1
Ageratina tinifolia,Ageratina,a.10.5,2600,1
Ageratina tinifolia,Ageratina,b.5.0,1500,1
Agouticarpa williamsii,Agouticarpa,a.10.5,700,1
Agouticarpa williamsii,Agouticarpa,b.5.0,2000,1
Agouticarpa williamsii,Agouticarpa,c.0.-5,1000,1
Aiouea dubia,Aiouea,a.10.5,2000,1
Aiouea dubia,Aiouea,b.5.0,1700,1
Aiouea dubia,Aiouea,c.0.-5,800,1
Aiphanes horrida,Aiphanes,a.10.5,1500,1
Aiphanes horrida,Aiphanes,b.5.0,1100,1
Aiphanes horrida,Aiphanes,d.-5.-10,100,1
Aiphanes horrida,Aiphanes,e.-10.-15,1600,1
Aiphanes horrida,Aiphanes,f.-15.-20,800,1
Albizia carbonaria,Albizia,a.10.5,1400,1
Albizia carbonaria,Albizia,b.5.0,400,3
Albizia carbonaria,Albizia,e.-10.-15,2000,2
Albizia subdimidiata,Albizia,b.5.0,500,3
Albizia subdimidiata,Albizia,f.-15.-20,100,2
Alchornea acutifolia,Alchornea,a.10.5,1300,8
Alchornea acutifolia,Alchornea,b.5.0,400,8
Alchornea acutifolia,Alchornea,d.-5.-10,1600,7
Alchornea acutifolia,Alchornea,e.-10.-15,100,8
Alchornea bogotensis,Alchornea,a.10.5,100,8
Alchornea bogotensis,Alchornea,b.5.0,900,8
Alchornea bogotensis,Alchornea,c.0.-5,400,8
Alchornea brittonii,Alchornea,e.-10.-15,1600,8
Alchornea brittonii,Alchornea,f.-15.-20,1600,6
Alchornea coelophylla,Alchornea,a.10.5,1600,8
Alchornea coelophylla,Alchornea,b.5.0,1500,8
Alchornea coelophylla,Alchornea,c.0.-5,1400,8
